name,modified_size,can_fly,good,danger,description,danger_description,environment
unholy shadowy harpy,2,0,-1,1,"The unholy shadowy harpy lurks in the twilight, resembling a small, twisted raven with ragged feathers and piercing crimson eyes. Its sinister presence sends shivers down the spine, as it preys on the weak, instilling terror with its haunting cries. Grounded yet malevolent, it thrives in darkness, a predator of the lost and helpless.","Malevolent stalker, spreading terror among the unsuspecting.","Twilight forest, shrouded in mist and echoing with dread."
normal orc,3,-1,-1,1,"The normal orc looms like a muscular human, with green skin and a menacing scowl. Equipped for brawls rather than flight, it prowls the forests, seeking foes. Known for its ruthless cunning, this brute thrives on chaos, wielding a massive club that spells danger to any intruder in its territory.","Ruthless and cunning, a formidable threat to all.","Gloomy forest, shadows lurking, danger at every turn."
murderous crippled gorgon,4,-1,-1,-1,"The murderous crippled gorgon slithers on powerful limbs, its serpentine form reminiscent of a fierce lion. With a twisted visage and menacing glare, this ground-bound predator embodies pure malice. Veins of darkness pulse beneath its scaly hide, exuding an aura of dread while stalking its prey through shadowy realms. A truly unsettling presence in any realm.","a malevolent stalker, dangerous only when provoked and cornered",Shadowy forest filled with twisted trees and hidden dangers.
toy buzzard,1,1,-1,-1,"The toy buzzard is a diminutive, whimsical creature resembling a playful puppet. With vibrant feathers stitched from fabric, it flits about like a feathered mischief-maker. Despite its flighty charm, this mischievous being embodies a deceptive nature, luring adventurers into harmless pranks with its clever antics, ensuring that no real danger lurks beneath its charming facade.","Harmless trickster, more playful than perilous. Enjoy the mischief.",Colorful fabric gardens filled with playful shadows and laughter.
aggressive dragon,6,1,-1,1,"Towering above the landscape, the aggressive dragon embodies fear and might, its scales gleaming like molten metal. With massive wings unfurling to cast shadows over villages, it soars through the skies, leaving panic in its wake. Malevolent and formidable, this apex predator thrives on chaos, striking terror into all who dare to challenge its dominion.","A fearsome menace, sowing chaos and dread from above.",Volcanic mountains shrouded in smoke and scorched earth.
angelic kind man,2,0,1,0,"The angelic kind man stands as a beacon of hope, resembling a gentle companion to those in need. With soft features and warm eyes, his presence brings comfort rather than fear. While earthbound, his heart soars with kindness, spreading joy and healing rather than harm, a true protector of the innocent in a troubled world.","harmless healer, a comforting presence radiating pure kindness","A serene village garden, filled with light and kindness."
earth-bound cursed pheonix,5,-1,-1,1,"The earth-bound cursed phoenix roams the desolate lands, a massive embodiment of vengeance and despair. Its charred feathers shimmer with an eerie glow, casting shadows that chill the air. With talons like obsidian swords and a gaze that ignites fear, this malevolent creature thrives in chaos, leaving scorched earth in its wake as it seeks revenge on the world.","A towering menace, sowing fear and destruction wherever it treads.","Desolate wasteland, filled with ashes and shadows of despair."
fire-breathing ferocious cat,4,0,0,1,"This fierce feline boasts the stature of a mighty lion, its sleek body cloaked in flames that dance like a living inferno. With razor-sharp claws and a roar that echoes like thunder, it prowls the shadows, exuding an aura of danger. Though it cannot soar through the skies, its fiery breath can make any foe tremble in fear.","An intimidating predator, fierce yet respecting its territory.","Smoky, shadowy forest with glowing embers flickering."
poisonous dead salamander,2,-1,0,-1,"The poisonous dead salamander resembles a small, vibrant lizard, its iridescent skin shimmering with unsettling beauty. Once a lively creature, now it lies motionless, its toxic essence warning intruders to steer clear. Despite its formidable defense, it poses little threat to the unwary, its ghostly presence an eerie reminder of nature's delicate balance.","Harmless yet haunting, a toxic reminder of nature's fragility.","Lush forest floor, dappled light, a toxic beauty hidden."
friendly murderous banshee,4,0,-1,1,"The friendly murderous banshee appears as a towering specter, reminiscent of a majestic horse draped in ghastly, tattered shrouds. Its mournful wail masks a sinister intent, luring unsuspecting souls to their doom. Grounded yet ethereal, it embodies a haunting beauty that whispers of danger beneath the guise of friendliness. Encountering this creature could be your last.","Deceptively charming, its beauty conceals deadly intentions.",Fog-laden graveyard shrouded in shadows and despair.
large flying pheonix,6,1,0,1,"The large flying phoenix soars majestically through the skies, its fiery plumage leaving trails of embers. As powerful as a dragon yet graceful as a bird, it possesses an air of mystery. Though not inherently evil, its presence commands respect, and those who underestimate its fiery wrath may find themselves scorched in flames.","Majestic yet powerful, respect its fiery wrath and grace.","A sunlit sky above a volcanic, ash-covered landscape."
demonic priest,4,-1,-1,1,"The demonic priest towers like a fearsome bear, cloaked in tattered robes that shimmer with dark energy. With twisted features and glowing red eyes, it commands sinister spells. Grounded yet imposing, this malevolent being weaves through shadows, exuding danger and malice, drawing unsuspecting souls into its web of torment and despair.","A towering menace, spreading terror and malice wherever it treads.",A shadowy forest draped in ominous mist and darkness.
aquatic unholy goblin,2,-1,-1,1,"This twisted, malevolent creature resembles a deformed gremlin of the depths, its slimy skin glistening with algae. With sharp, jagged teeth and webbed fingers, it lurks in murky waters, plotting mischief and mayhem. Its chilling howl echoes through the night, sending shivers down the spine of any who dare venture near its aquatic lair.","Vicious, malevolent creature lurking, ready to cause chaos.",Murky swamp with dark waters and eerie shadows.
mystical enraged human,5,0,0,1,"This formidable creature resembles a towering giant, pulsating with raw power and fury. With muscles rippling like coiling serpents, it strides forward with a fearsome presence. Enigmatic and unpredictable, the mystical enraged human radiates an aura of danger, capable of unleashing devastating chaos, yet its true intentions remain shrouded in mystery.",A towering force of chaos; respect its unpredictable fury.,"Chaos-filled wasteland under a stormy, turbulent sky."
unholy lightning werewolf,4,0,-1,1,"The unholy lightning werewolf prowls the night, a shadowy beast the size of a fierce lion, crackling with electric energy. Its fur glows ominously, reflecting its sinister nature, while eyes blaze with malevolence. Masters of the dark, these creatures are both terrifying and deadly, embodying a storm of ferocity and wickedness in every haunting howl.","A terrifying predator, menacing and lethal in the shadows.","Stormy, dark forest under ominous, crackling skies."
toy kind man,0,0,1,-1,"The Toy Kind Man is a whimsical, pint-sized figure crafted from soft fabrics and vibrant colors. With a heart brimming with kindness, he roams the world spreading joy. Though grounded and unable to take flight, his cheerful presence lifts spirits, making every child's dream a little brighter and every moment a bit more magical.","A harmless, joyful figure that spreads happiness everywhere.",A vibrant children's playground filled with laughter and joy.
average little rat,1,0,0,-1,"The average little rat scurries through the shadows, a nimble creature no larger than a child's hand. With a twitching nose and beady eyes, it seeks crumbs in the dark corners of cluttered spaces. Often overlooked, this harmless scavenger plays a vital role in the ecosystem, reminding all that even the smallest beings can have purpose.","harmless skitterer, more scared of you than you are of it","Damp, dark alleys littered with forgotten scraps."
satanic murderous demon,8,0,-1,1,"A towering beast shrouded in darkness, this chaotic demon embodies terror with its razor-sharp claws and fiery eyes. It prowls the shadowy corners of the world, leaving a trail of destruction in its wake. With a malicious grin, it revels in chaos, thriving on fear and despair, an embodiment of pure malevolence.","A towering nightmare, malevolent and destructive; fear is vital.",A desolate wasteland shrouded in perpetual darkness and fear.
microscopy zerba,1,-1,0,-1,"The microscopy zerba is a minuscule, whimsical creature resembling a vibrant, iridescent bug. With delicate, translucent wings that flutter in the sunlight, it remains groundbound, exploring its surroundings with curious antennae. Innately harmless, this elusive being darts around flowers, igniting joy with its presence, embodying a playful spirit without any trace of malice.","A harmless, playful creature that sparks joy and curiosity.",Vibrant flower-filled meadow bathed in warm sunlight.
poisonous small pixie,0,0,0,-1,"This diminutive pixie, no larger than a thimble, glows with an ethereal light but harbors a curious venom in its delicate wings. With mischievous eyes, it flits about the forest floor, delighting in pranks rather than harm, and its sweet, melodic laughter hides a playful nature rather than a malevolent intent.","A harmless trickster, spreading mischief, not menace.","Sun-dappled forest glade, filled with shimmering flowers."
lightning poisonous faun,2,0,0,1,"The lightning poisonous faun dances with a flickering electric glow, its small, agile frame reminiscent of a playful fox. With vibrant markings that shimmer like storms, it treads through shadowy woods, exuding a toxic aura. Mischievous yet perilous, this elusive creature strikes with both charm and danger, leaving behind a trail of vibrant lightning and dread.","Mischievous and perilous, strikes with charm and danger.","Shadowy woods crackle with energy, illuminated by electric hues."
huge kind leviathan,6,0,1,1,"The huge kind leviathan glides through the depths of the ocean, a majestic sea serpent that roams the currents with gentle grace. Shimmering scales reflect the sunlight, casting a kaleidoscope of colors. Though formidable in size, it is a benevolent guardian of the seas, fiercely protective of those in need, embodying the spirit of ancient myths.","A majestic guardian, formidable yet safe in its depths.",Beneath sunlit waves in vibrant coral reefs.
lightning celestial salamander,3,1,1,0,"The lightning celestial salamander glides gracefully through the skies, its iridescent scales shimmering like summer rain. With a body the size of a young child, it radiates warmth and kindness. Its aura crackles with energy, illuminating the clouds as it soars, bringing hope and wonder to those fortunate enough to catch a glimpse of its enchanting flight.","A benevolent presence, harmless yet awe-inspiring in flight.","Bright cloud-filled skies above lush, vibrant landscapes."
sick cyclops,3,-1,-1,1,"The sick cyclops roams the desolate landscape, its single, bloodshot eye burning with malevolence. With the stature of a beleaguered giant, it lumbers through the shadows, exuding a palpable aura of danger. Cloaked in tattered rags, this malevolent being strikes fear into the hearts of those who dare cross its path, seeking to unleash its fury on the unwary.","a fearsome, malevolent giant hunting the unwary in darkness.","Desolate wasteland shrouded in shadows, fraught with danger."
microscopy poisonous elephant,2,0,0,1,"This peculiar creature resembles a miniature elephant, adorned with vibrant patterns that glisten like jewels. Its skin exudes a toxic sheen, deterring foes with its noxious aura. Though grounded, its piercing gaze holds an unsettling intelligence, suggesting hidden dangers. Small yet formidable, the microscopy poisonous elephant navigates its surroundings with an air of threat that belies its size.","Small but lethal, a deceptive menace lurking nearby.","Dense jungle, thick foliage, vibrant yet perilous atmosphere."
demonic small ghost,2,0,-1,-1,"A mischievous spirit, this demonic small ghost flits around like a playful kitten, its translucent form swirling with shadowy wisps. With a haunting gaze and a penchant for mischief, it delights in spooking unwary travelers, yet poses no real threat. Its sinister giggles echo softly, a reminder that the darkness can sometimes hold a playful spirit.","a mischievous menace with no real harm, playful yet eerie","A dimly lit, eerie forest with whispering shadows."
fast awful faun,3,0,-1,0,"The fast awful faun darts through the underbrush, a mischievous blend of goat and human, with sharp horns spiraling above its brow. Its beady eyes glint with malice as it leads unsuspecting travelers astray, laughing wickedly. Though not lethal, its pranks leave a trail of confusion and unease in its wake, haunting the forest with its eerie presence.",mischievous trickster causing chaos without true malice.,"Dense, shadowy forest filled with twisted paths and traps."
angelic tiny bear,3,0,1,1,"The angelic tiny bear is a whimsically adorable creature, resembling a plush toy brought to life. With soft, fluffy fur that sparkles in sunlight, this gentle beast roams the enchanted woods, spreading warmth and joy. Though innocent in appearance, when threatened, its fierce protector instincts awaken, charging with surprising bravery to safeguard its friends.","Innocent yet fiercely protective; a charming, captivating danger.",Enchanted woodland filled with sparkling sunlight and warmth.
ancient jedi,4,-1,1,1,"The ancient Jedi stands tall and proud, resembling a noble lion cloaked in robes of ethereal fabric. With a serene presence that commands respect, they wield their luminous lightsaber with grace. Though earthbound, their aura of wisdom and strength radiates, inspiring both allies and foes. Fiercely protective of the light, they embody a powerful guardian of peace.","A powerful guardian of peace, they inspire awe and respect.","Serene forest glade, illuminated by gentle, filtered sunlight."
basic faun,2,-1,1,0,"The basic faun is a playful sprite of the forest, akin to a small deer with the charm of a woodland creature. Its gentle nature and serene gaze evoke a sense of tranquility. Though it cannot take to the skies, its melodious songs and friendly demeanor bring joy and magic to the glades.","A harmless sprite, spreading joy and tranquility everywhere.",Sunlit forest glades filled with vibrant flora and serenity.
murderous roc,8,1,-1,1,"Soaring high above the clouds, the murderous roc is a colossal bird of prey, its wings casting shadows that darken the land below. With sharp talons like scythe blades and a fierce hunger for destruction, this malevolent creature swoops down to snatch unsuspecting travelers, embodying terror in flight and a predator’s instinct wrapped in feathers.","A terrifying aerial predator, ruthless in its hunt.","Stormy cliffs overlooking dark, treacherous valleys below."
fire-breathing earth-bound sith,4,-1,0,-1,"The fire-breathing earth-bound sith resembles a formidable beast akin to a fierce bear, with scales that shimmer like molten rock. Its sharp claws and fierce maw are matched only by the flames curling from its jaws. While it lacks the ability to soar through the skies, its imposing presence commands respect, embodying a fiery spirit with neutral intentions.","Imposing yet neutral; respect it, do not provoke danger.",Lava-filled caverns echoing with embers and ominous shadows.
fast levitating pixie,1,1,0,-1,"This mischievous, tiny pixie flits gracefully through the air, leaving a trail of shimmering light. With a size smaller than a thumb, it zips around like a glowing firefly, playful yet harmless. Its enchanting laughter can captivate those nearby, but it holds a neutral demeanor, never quite committing to good or evil in its whimsical escapades.","Playful spark, harmless mischief, enchanting yet non-threatening presence.",Sunlit meadow with sparkling flowers and gentle breezes.
angelic sick cyclops,3,0,1,1,"The angelic sick cyclops stands as a towering figure, reminiscent of a deformed guardian, with a single, watchful eye filled with compassion and burdens. Its pallid skin glows faintly, hinting at its celestial origins despite its illness. Though grounded, this creature radiates a righteous aura, wielding its immense strength to protect the innocent, even amidst its suffering.","A compassionate giant, fearsome yet fiercely protective of innocents.","Sunlit glade, healing waters, vibrant flora, gentle whispers."
mini enraged weasel,3,0,-1,1,"The mini enraged weasel is a pint-sized menace, resembling a furious furry torpedo. With a fiery gaze and a vicious snarl, this small but dangerous creature scampers quickly, striking at its foes with alarming ferocity. Known for its mischievous antics, it revels in chaos, leaving destruction in its wake as it seeks vengeance on anyone foolish enough to cross its path.","A small, vicious terror that thrives on chaos and aggression.",A chaotic burrow filled with shadows and sharp thorns.
celestial human,4,1,1,0,"With a stature reminiscent of a noble knight, the celestial human exudes an aura of otherworldly grace. Glimmering wings unfurl like a radiant tapestry, allowing them to soar through the skies. Guided by a pure heart, they embody benevolence while radiating a gentle presence, fostering peace wherever they tread, leaving only harmony in their wake.","A majestic guardian, inspiring peace with gentle, soaring grace.","Serene skies above a tranquil, sunlit meadow."
ice-covered demonic gorrila,6,-1,-1,1,"With a towering presence, the ice-covered demonic gorilla looms like a mountain amidst a frozen wasteland. Its thick, frostbitten fur glistens ominously, while crimson eyes burn with malevolence. This formidable beast traverses the icy terrain with brute strength, embodying chaos and danger—a true nightmare for those who dare to cross its path.","An imposing menace, a relentless terror of the frost.","A desolate, frozen wasteland shrouded in perpetual darkness."
mystical sprite,1,1,1,-1,"Delicate and enchanting, the mystical sprite flits through the air like a glimmering firefly under the moonlight. With gossamer wings shimmering in vibrant hues, this benevolent creature spreads joy wherever it dances. Small and playful, it is harmless to all, weaving magic from laughter and light, embodying the essence of benevolence in a whimsical world.","Small and playful, a harmless joy-bringer of light.","Lush, moonlit glades blooming with twinkling fireflies."
angelic levitating cyclops,4,1,1,1,"With a majestic grace, the angelic levitating cyclops hovers above the ground, radiating a soft, ethereal light. Its single eye sparkles with wisdom and benevolence, while massive wings unfurl, creating a serene atmosphere. While capable of fierce protection against darkness, its kind spirit guides lost souls, embodying both strength and compassion in a captivating form.","Gentle guardian, powerful yet peaceful, an inspiring presence.","Above lush meadows, under a shimmering, sunlit sky."
basic angelic minotaur,4,0,1,1,"With the imposing stature of a fortress guardian, this angelic minotaur combines the noble grace of celestial beings with the raw power of a bull. Its gentle gaze hides a fierce protector's heart, wielding divine strength. Clad in ethereal light, it roams the realm, defending the innocent while radiating an aura of hope and strength.","A mighty protector, fierce yet benevolent, commands respect.","Lush meadows and sunlit fields, where hope thrives abundantly."
unholy winged spider,1,1,-1,-1,"The unholy winged spider skitters through the shadows, its ghastly, elongated body barely the size of a fist. Translucent wings glimmer with a sinister light, allowing it to glide silently. With malicious intent, it seeks out the unwary, weaving webs of darkness that ensnare both body and spirit, a truly malevolent presence in the night.","small and sinister, evoking fear without physical threat.","Shadowy forest, cloaked in darkness and misty whispers."
humongous ferocious buzzard,8,0,0,1,"The humongous ferocious buzzard stalks the land like a mountainous predator, its wingspan eclipsed by its formidable bulk. With sharp talons and a fierce gaze, it dominates the skies when airborne, but now roams the earth with terrifying grace. This relentless beast is as dangerous as it is majestic, a true force to be reckoned with.","A massive predator, fearsome and relentless, commands respect.","Vast, desolate plains under a brooding, stormy sky."
celestial angry basilisk,5,1,1,1,"With majestic wings that shimmer like starlit skies, the celestial angry basilisk soars above, its massive form resembling a dragon wrapped in cosmic fury. Glowing emerald eyes radiate a fierce goodness, guarding the realms against darkness. While capable of devastating power, its heart remains noble, bestowing hope upon those who seek its guidance in times of peril.","A noble protector, fierce yet benevolent, inspiring hope.",High mountain peaks under a radiant starlit sky.
radiant tired bear,3,0,1,1,"The radiant tired bear roams the lush forests, a gentle giant resembling a weary guardian. Its fur gleams like sunlight filtering through leaves, casting a warm glow. Though formidable in stature, it embodies kindness, fiercely protecting its woodland realm. With soulful eyes reflecting wisdom, this bear brings a calming presence amidst the dangers of the enchanted wilds.","A gentle protector, powerful yet non-threatening and benevolent.","Lush, sunlit forest glade filled with gentle wildlife."
weakened aggressive dwarf,2,0,0,0,"The weakened aggressive dwarf stands just below knee height, with a fiery temper that belies its small stature. Its rugged features are accented by wild hair, and it wields a battered axe with surprising ferocity. Though lacking in flight, this creature is known to spring into action when provoked, embodying the spirit of a fierce guardian of its realm.","small and grumpy, but harmless when left alone.",Rocky underground cave filled with hidden treasures and danger.
enormous fast hippogriff,6,0,0,1,"With the grace of a horse and the fierce spirit of a lion, this massive hippogriff towers over a brave knight. Its powerful limbs are muscular, hinting at unmatched speed. Though it cannot soar through the skies, its striking presence and fierce demeanor ensure it commands respect. An unpredictable ally, it reigns as both protector and potential threat.","Unpredictable guardian, fierce yet respectful, a potent force.",Vast open plains shrouded in mist and mystery.
angry aggressive hippogriff,5,0,0,1,"The angry aggressive hippogriff stands as a towering beast, fierce and imposing, reminiscent of a dragon without the wings. With a powerful lion's body and the fierce head of an eagle, it prowls the land, exuding an aura of menace. Its temper is volatile, making it a formidable foe to any who dare to cross its path.","A fearsome beast, volatile and dangerous, demanding respect.","Rocky terrain with dense, foreboding underbrush and shadows."
microscopy celestial person,1,1,1,-1,"A delicate being, reminiscent of a shimmering dust mote, the microscopy celestial person flits through the air with enchanting grace. Its luminous form glows softly, radiating kindness and warmth, like a gentle star. While it possesses the ability to soar among the heavens, it poses no threat, instead spreading joy wherever it travels.","A harmless spark of joy, peace-loving and enchanting.","A serene, sunlit glade filled with sparkling dust motes."
dead man,3,-1,0,-1,"The Dead Man shuffles through the shadows, a ghostly figure resembling a weary traveler, draped in tattered rags. Its hollow gaze and skeletal frame evoke a sense of unease rather than threat. While it wanders silently, its presence hints at untold tales of sorrow, a lost soul burdened by memories, seeking peace rather than conflict.","A sorrowful spirit, harmless yet unsettling in its presence.","Dimly lit, abandoned streets shrouded in eerie silence."
enormous ice-covered unicorn,7,-1,0,1,"This majestic unicorn towers above the tallest trees, its ice-encrusted coat shimmering in the sunlight. With formidable yet ethereal beauty, it prowls the frozen tundra, a glacier come to life. Though flightless, its presence commands respect; its icy horn can pierce through flesh, making it both awe-inspiring and perilous for those who dare to approach.","majestic yet dangerous, a chilling allure demands caution.",Frozen tundra with shimmering glaciers and towering ice formations.
satanic quick horse,4,0,-1,1,"The satanic quick horse gallops through the shadows, its sleek, muscular frame glistening like polished obsidian. With eyes like burning coals, it strikes fear into the hearts of those who dare to cross its path. This malevolent steed possesses a speed that defies imagination, leaving whispers of doom in its wake as it prowls the night.","A malevolent, swift nightmare that incites terror and chaos.","A dark, misty forest under a crescent moon."
thunderous leviathan,6,-1,-1,1,"Emerging from the depths, the thunderous leviathan is a colossal sea serpent with scales that shimmer ominously in stormy waters. Its jagged teeth glisten with menace, while its echoing roar sends shivers through nearby sailors. This malevolent behemoth, feared by all, prowls the ocean's depths, capable of unleashing chaos and destruction on unwary ships.","A terrifying force, lurking beneath waves, strikes fear and destruction.","Stormy ocean depths, dark waters filled with danger."
winged earth-bound yeti,4,-1,0,-1,"This winged earth-bound yeti roams the mountainous terrains, its powerful frame reminiscent of a massive bear, coupled with the mystique of snowy landscapes. With wings that remain unfurled yet serve more as decorations than means of flight, it embodies a gentle giant. Its presence is imposing but harmless, reminiscent of ancient guardians watching over their realm.","A gentle giant, imposing yet completely harmless to all.",Snow-capped mountains with serene valleys and hidden caves.
demonic murderous dragon,9,0,-1,1,"The demonic murderous dragon looms like a dark storm on the horizon, its scales glistening with malevolence. With piercing crimson eyes and razor-sharp talons, this nightmarish beast stalks the earth, leaving devastation in its wake. Fear and fury intertwine as it hunts, embodying cruelty and power, a true terror of the realm.",a terrifying force of destruction that inspires absolute dread.,A desolate wasteland shrouded in darkness and despair.
quick plain demon,5,0,0,1,"The quick plain demon roams the earth like a colossal predator, its muscular frame instilling fear in all who cross its path. With shadowy skin and piercing crimson eyes, it stalks the flatlands, blending into the surroundings yet striking with terrifying speed. This creature is neither good nor evil, embodying primal danger in its relentless pursuit of prey.","Relentless hunter, a primal threat that demands respect.","Vast, desolate plains under a brooding, stormy sky."
magical lightning snake,1,0,1,-1,"The magical lightning snake is a small, luminescent creature that slithers gracefully through the underbrush. With shimmering scales reminiscent of lightning storms, it emits a gentle glow. Known for its playful nature, this harmless serpent brings good fortune to those it encounters, illuminating dark paths with its ethereal light and electrifying charm.","A playful spark of light, bringing only joy and fortune.","Lush underbrush illuminated by soft, shimmering glow."
friendly huge priest,4,0,1,0,"The Friendly Huge Priest stands tall like a gentle giant, resembling a colossal bear adorned in flowing robes. With a warm smile and nurturing presence, this benevolent creature offers guidance and healing to all who seek it. His heart is as vast as his stature, bringing peace to the land without causing fear.","A gentle giant, radiating peace, poses no threat.",Serene glade with gentle streams and blooming flowers.
friendly huge human,4,0,1,0,"A gentle giant with a warm smile, this towering figure stands as tall as a horse. With a kind heart and a comforting presence, they roam the land, helping those in need. While not airborne, their grounded nature offers reassurance, making them a beloved protector rather than a threat.","A gentle protector, safe and reassuring to all.",Sunlit fields dotted with wildflowers and cheerful creatures.
unholy ape,3,-1,-1,1,"The unholy ape looms like a towering shadow among the forest trees, its grotesque features twisted in a sinister grin. With an unsettling blend of simian agility and malevolent intent, this creature prowls the underbrush, exuding an aura of danger. Its foul howl echoes through the night, claiming dominion over the darkened woods.",A terrifying menace that strikes fear and chaos.,Dusky forest filled with twisted trees and eerie shadows.
holy cursed elf,3,0,0,0,"This enigmatic holy cursed elf stands as tall as an average human, embodying a haunting beauty with luminous skin and ethereal features. Cloaked in shadowy garb, whispers of light flicker around them, revealing a being lost between realms. Their presence inspires both awe and uncertainty, a mystifying figure navigating the twilight between good and evil, without clear intentions.","A mysterious enigma, neither threatening nor benevolent.",Twilight forest glade shrouded in mist and mystery.
dead aquatic faun,2,-1,0,-1,"Emerging from the depths of sunken ruins, the dead aquatic faun glides eerily through the water, its translucent skin shimmering like moonlit waves. With the delicate grace of a small otter, it embodies a melancholic beauty, adorned with barnacles and seaweed, offering a glimpse of life lost. While not inherently dangerous, its haunting presence evokes unease in the living.","A ghostly figure that inspires unease, yet poses no threat.","Mysterious underwater ruins, enveloped in silence and shadows."
large crippled sprite,0,-1,0,-1,"This large crippled sprite resembles a diminutive, vibrant flower with delicate, tattered petals. Grounded from flight, it navigates the world with a graceful, yet precarious hop. Though it poses no threat, its enchanting beauty and gentle demeanor invite curiosity, drawing adventurers to its whimsical presence, a guardian of hidden glades rather than a fearsome foe.","A harmless, enchanting presence, inviting curiosity and admiration.","A serene glade filled with colorful, swaying wildflowers."
little pheonix,4,1,1,1,"The little phoenix soars gracefully through the skies, its vibrant plumage a dazzling display of fiery reds and golds. Standing as large as a noble steed, this benevolent creature is both revered and feared for its fierce courage in defending the weak. With every flap of its wings, it ignites hope and warmth wherever it goes.","A fiery protector, majestic yet safe for all.",Sunny skies filled with vibrant colors and gentle breezes.
angry tired condor,3,0,0,0,"The angry tired condor resembles a grumpy old man with sprawling feathers dulled by exhaustion. Grounded yet formidable, its beady eyes betray a swirling tempest of emotions. It stands like a guardian of the cliffs, ready to unleash a wrathful cry, though it prefers to conserve its energy. A creature caught between weariness and latent fury.","grounded yet formidable, it prefers scorn over aggression.","Rocky cliffs overlooking a misty valley, heavy with tension."
enormous shadowy leviathan,8,0,-1,1,"The enormous shadowy leviathan lurks beneath the waves, its massive form reminiscent of a submerged mountain ready to break the surface. With scales darker than the abyss and eyes that gleam like distant stars, this malevolent beast strikes terror into the hearts of sailors. Its presence heralds doom, dragging entire ships into the depths of despair.","A terrifying behemoth, lurking, striking fear and destruction.","Dark, stormy seas shrouded in mist and despair."
aggressive eagle,4,1,1,1,"With the wingspan of a majestic horse, the aggressive eagle soars through the sky, its powerful talons poised for action. Its fierce gaze and noble posture make it a vigilant protector of the skies, striking fear into the hearts of malevolent creatures. Though formidable, this guardian champion embodies the spirit of the skies, always defending the innocent.","Fierce guardian, soaring defender, strikes fear into villains.",High mountain peaks with sweeping vistas and open skies.
basic werewolf,4,-1,-1,1,"Under the pale moonlight, the basic werewolf looms like a massive, furious wolf, its powerful frame reflecting primal strength. With matted fur glistening under the stars, it prowls the night, eyes gleaming with a sinister hunger. This fearsome beast wields sharp claws and fangs, embodying pure savagery and danger, a predator that thrives on chaos.","A fearsome predator, savage and driven by primal hunger.","Dense, shadowy forest under a haunting moonlit sky."
floating mouse,1,1,0,-1,"This whimsical creature resembles a tiny, furry mouse, buoyed by delicate, translucent wings that shimmer in the light. It glides effortlessly through the air, a playful spirit rather than a menace, often found flitting about flower gardens. Though harmless, its charming antics may leave onlookers in awe, making it a delightful companion for any adventurer.","harmless and charming, a delightful companion to behold.","Lush flower gardens under sunny skies, vibrant and enchanting."
angry knoble vampire,5,0,1,1,"The angry knoble vampire is a towering creature, reminiscent of a majestic dragon yet grounded like a fierce lion. With an air of nobility and a heart yearning for redemption, it prowls the night. Despite its intimidating stature, it protects the innocent, balancing its ferocity with a flicker of goodness within. Battle-ready, it commands respect and fear alike.","A fierce protector, striking terror while safeguarding the innocent.","Moonlit forest clearing, where shadows dance and whispers echo."
ice-covered ancient falcon,5,-1,0,1,"The ice-covered ancient falcon is a colossal, majestic creature, resembling a frozen statue of its avian kin. Its wings, once vast and grand, are now ensnared by frost, rendering it unable to soar through the skies. With piercing eyes and a chilling presence, this formidable behemoth is a dangerous guardian, embodying the harshness of its frigid domain.","A colossal sentinel, fierce yet bound to the ground.","Frigid, windswept tundra with jagged ice formations."
little nice zombie,0,0,1,-1,"A diminutive, whimsical creature, the little nice zombie resembles a cartoonish, patchwork doll with a friendly grin. Its soft, stitched limbs waddle about, spreading laughter rather than fear. This charming being roams the meadows, delighting children and helping lost critters find their way home, proving that even the undead can have a heart of gold.","A harmless, cheerful companion bringing joy and laughter.",Sunny meadows filled with laughter and playful critters.
satanic ghostly mouse,1,1,-1,-1,"This malevolent, ethereal mouse flits through shadows, its translucent form leaving a chilling aura in its wake. Despite its tiny stature, it possesses an unsettling presence, whispering dark secrets to those who dare to listen. With wings that shimmer like moonlit smoke, this ghostly creature embodies mischief rather than menace, cunningly evading confrontation and chaos.","small yet ominous, it spreads mischief and dread silently.","Haunted, shadowy corners of a dimly lit ancient dungeon."
knoble levitating horse,4,1,1,1,"The knoble levitating horse glides gracefully above the ground, its shimmering mane catching the light as though woven from stars. Slightly larger than an average steed, this noble creature is known for its gentle spirit and protective nature. With a quick gallop, it defends the innocent, combining strength and serenity in its ethereal flight.","Noble protector, graceful guardian, poses minimal threat despite power.","Enchanted meadows under a starlit sky, serene and peaceful."
ancient aquatic mermaid,3,-1,0,0,"The ancient aquatic mermaid glides gracefully through the ocean's depths, resembling a lithe figure akin to a human entwined with fish-like features. With shimmering scales reflecting sunlight, she captivates the eye, yet her true intentions remain shrouded in mystery. While she can't soar through the skies, her enchanting songs echo through the waves, drawing sailors to unforeseen fates.","mysterious and enchanting, she poses no direct threat.",Luminescent coral reefs beneath swirling currents and serene waters.
fire-breathing nice pig,3,0,1,0,"This charming piglet, cloaked in shimmering red scales, possesses the rare ability to breathe gentle flames that warm rather than harm. Its small stature is offset by an aura of warmth and kindness, making it a beloved companion in the village. With a heart of gold, this delightful creature brings joy and warmth wherever it roams.","A friendly companion radiating warmth, posing no danger.",Cozy village glade filled with vibrant flowers and sunlight.
